日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,885976.TI,数字经济,,,,,,
20251118,884287.TI,数字芯片设计,,,,,,
20251118,885866.TI,数字货币,,,,,,
20251118,885887.TI,数据中心,,,,,,
20251118,885942.TI,数据安全,,,,,,
20251118,886023.TI,数据确权,,,,,,
20251118,886041.TI,数据要素,,,,,,
20251118,881164.TI,文化传媒,,,,,,
20251118,885418.TI,文化传媒概念,,,,,,
20251118,399248.SZ,文化指数,,,,,,
20251118,884142.TI,文娱用品,,,,,,
20251118,000171.CSI,新兴成指,,,,,,
20251118,000891.SH,新兴综指,,,,,,
20251118,885991.TI,新型城镇化,,,,,,
20251118,886057.TI,新型工业化,,,,,,
20251118,885899.TI,新型烟草(电子烟),,,,,,
20251118,399100.SZ,新指数,,,,,,
20251118,399297.SZ,新浪100,,,,,,
20251118,882031.TI,新疆,,,,,,
20251118,885345.TI,新疆振兴,,,,,,
20251118,000017.SH,新综指,,,,,,
20251118,885598.TI,新股与次新股,,,,,,
20251118,884150.TI,新能源发电,,,,,,
20251118,885431.TI,新能源汽车,,,,,,
20251118,881160.TI,旅游及酒店,,,,,,
20251118,885497.TI,旅游概念,,,,,,
20251118,884165.TI,旅游综合,,,,,,
20251118,884254.TI,旅游零售,,,,,,
20251118,885564.TI,无人机,,,,,,
20251118,885768.TI,无人零售,,,,,,
20251118,885736.TI,无人驾驶,,,,,,
20251118,884024.TI,无机盐,,,,,,
20251118,885774.TI,无线充电,,,,,,
20251118,885868.TI,无线耳机,,,,,,
20251118,886036.TI,时空大数据,,,,,,
20251118,886055.TI,星闪概念,,,,,,
20251118,883401.TI,昨日ST连板股表现,,,,,,
20251118,883400.TI,昨日ST首板股表现,,,,,,
20251118,883902.TI,昨日成交前十,,,,,,
20251118,883996.TI,昨日打二板以上表现,,,,,,
20251118,883978.TI,昨日打板表现,,,,,,
20251118,883995.TI,昨日打首板以上表现,,,,,,
20251118,883994.TI,昨日打首板表现,,,,,,
20251118,883905.TI,昨日换手前十,,,,,,
20251118,883900.TI,昨日涨停表现,,,,,,
20251118,883918.TI,昨日炸板股,,,,,,
20251118,883901.TI,昨日资金前十,,,,,,
20251118,883958.TI,昨日连板,,,,,,
20251118,883999.TI,昨日非ST三板以上表现,,,,,,
20251118,883998.TI,昨日非ST三板表现,,,,,,
20251118,883997.TI,昨日非ST二板表现,,,,,,
20251118,883992.TI,昨日非ST打板,,,,,,
20251118,883986.TI,昨日非ST涨停表现,,,,,,
20251118,883987.TI,昨日非ST炸板,,,,,,
20251118,883988.TI,昨日非ST连板,,,,,,
20251118,883993.TI,昨日非ST首板,,,,,,
20251118,883979.TI,昨日首板表现,,,,,,
20251118,883906.TI,昨日高振幅,,,,,,
20251118,884052.TI,普钢,,,,,,
20251118,885378.TI,智慧城市,,,,,,
20251118,885956.TI,智慧政务,,,,,,
20251118,885963.TI,智慧灯杆,,,,,,
20251118,885402.TI,智能医疗,,,,,,
20251118,885478.TI,智能家居,,,,,,
